指标名称,中国:北京:中原领先指数,中国:北京:二手房出售挂牌价指数,中国:北京:二手房出售挂牌量指数,中国:北京:中原报价指数,中国:北京:成交面积(签约):二手房:住宅,中国:北京:成交套数(签约):二手房:住宅,中国:北京:成交套均面积(签约):二手房:住宅,中国:北京:二手住宅租金指数,中国:北京:租金回报率:二手住宅,中国:北京:可售面积:商品房:住宅,中国:北京:批准预售面积:商品房:住宅,中国:北京:供应土地规划建筑面积:住宅类用地,中国:北京:成交土地规划建筑面积:住宅类用地,中国:上海:中原领先指数,中国:上海:二手房出售挂牌价指数,中国:上海:二手房出售挂牌量指数,中国:上海:中原报价指数,中国:上海:成交面积:二手房,中国:上海:成交套数:二手房,中国:上海:成交套均面积:二手房,中国:上海:二手住宅租金指数,中国:上海:租金回报率:二手住宅,中国:上海:可售面积:商品房:住宅,中国:上海:批准预售面积:商品房:住宅,中国:上海:供应土地规划建筑面积:住宅类用地,中国:上海:成交土地规划建筑面积:住宅类用地,中国:深圳:中原领先指数,中国:深圳:二手房出售挂牌价指数,中国:深圳:二手房出售挂牌量指数,中国:深圳:中原报价指数,中国:深圳:成交面积:二手房:住宅,中国:深圳:成交套数:二手房:住宅,中国:深圳:成交套均面积:二手房:住宅,中国:深圳:二手住宅租金指数,中国:深圳:租金回报率:二手住宅,中国:深圳:可售面积:商品房:住宅,中国:深圳:批准预售面积:商品房:住宅,中国:深圳:供应土地规划建筑面积:住宅类用地,中国:深圳:成交土地规划建筑面积:住宅类用地,中国:广州:中原领先指数,中国:广州:二手房出售挂牌价指数,中国:广州:二手房出售挂牌量指数,中国:广州:中原报价指数,中国:广州:成交面积:二手房:住宅,中国:广州:成交套数:二手房:住宅,中国:广州:成交套均面积::二手房:住宅,中国:广州:二手住宅租金指数,中国:广州:租金回报率:二手住宅,中国:广州:可售面积:商品房:住宅,中国:广州:批准预售面积:商品房:住宅,中国:广州:供应土地规划建筑面积:住宅类用地,中国:广州:成交土地规划建筑面积:住宅类用地,上海:城镇常住居民人均可支配收入:累计同比,广东:深圳:居民人均可支配收入:同比,广东:广州:城镇居民人均可支配收入:累计同比,北京:城镇居民人均可支配收入:累计同比,中国:个人住房公积金贷款利率:5年以上,中国:金融机构人民币贷款加权平均利率:个人住房贷款,中国:消费者信心指数:就业,中国:消费者信心指数:收入,中国:消费者信心指数:预期,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:居住:租赁房房租:当月同比,中国:CPI:居住:租赁房房租:环比
2016-07-10,,,,,353307.18,3819,92.5130086410055,,,838.7828,,,,,,,,,,,,,893.47,,,,,,,,97533.19,1164,83.79140034364261,,,4163098.87,,,,,,,,,,,,,8466231,,,,,,,,,,,,,,,,
2016-07-11,,129.55,,43.32,,,,,,852.8294,,,,,145.9,,47.86,,,,,,890.75,,,,,175.42,,36.84,,,,,,4213390.12,,,,,110.72,,55.13,,,,,,8401800,,,,,,,,,,,,,,,,
2016-07-12,,,,,,,,,,850.9865,,,,,,,,,,,,,887.31,,,,,,,,,,,,,4194576.24,,,,,,,,,,,,,8380537,,,,,,,,,,,,,,,,
2016-07-13,,,,,,,,,,849.4352,,,,,,,,,,,,,888.94,,,,,,,,,,,,,4176857.9,,,,,,,,,,,,,8318940,,,,,,,,,,,,,,,,
2016-07-14,,,,,,,,,,847.4344,,,,,,,,,,,,,885.75,,,,,,,,,,,,,4131689.38,,,,,,,,,,,,,8311903,,,,,,,,,,,,,,,,
2016-07-15,,,,,,,,,,853.8699,,,,,,,,,,,,,884.62,,,,,,,,,,,,,4118356.64,,,,,,,,,,,,,8290442,,,,,,,,,,,,,,,,
2016-07-16,,,,,,,,,,848.3942,,,,,,,,,,,,,882.09,,,,,,,,,,,,,4112880.27,,,,,,,,,,,,,8290442,,,,,,,,,,,,,,,,
2016-07-17,,,,,496455.8,5348,92.83017950635751,,,844.5135,,,,,,,,,,,,,878.85,,,,,,,,112505.37,1382,81.4076483357453,,,4107149.12,,,,,,,,,,,,,8220005,,,,,,,,,,,,,,,,
2016-07-18,,129.96,,51.83,,,,,,861.5784,,,,,146.3,,49.85,,,,,,876.37,,,,,173.02,,38.01,,,,,,4108214.22,,,,,111.24,,56.03,,,,,,8211656,,,,,,,,,,,,,,,,
2016-07-19,,,,,,,,,,858.3458,,,,,,,,,,,,,885.45,,,,,,,,,,,,,4094628.28,,,,,,,,,,,,,8254880,,,,,,,,,,,,,,,,
2016-07-20,,,,,,,,,,857.1335,,,,,,,,,,,,,873.67,,,,,,,,,,,,,4068729.25,,,,,,,,,,,,,8237649,,,,,,,,,,,,,,,,
2016-07-21,,,,,,,,,,858.6991,,,,,,,,,,,,,873.36,,,,,,,,,,,,,4045804.58,,,,,,,,,,,,,8239095,,,,,,,,,,,,,,,,
2016-07-22,,,,,,,,,,855.1402,,,,,,,,,,,,,871.75,,,,,,,,,,,,,3959344.22,,,,,,,,,,,,,8262537,,,,,,,,,,,,,,,,
2016-07-23,,,,,,,,,,848.3218,,,,,,,,,,,,,864.34,,,,,,,,,,,,,3939664.28,,,,,,,,,,,,,8212628,,,,,,,,,,,,,,,,
2016-07-24,,,,,514598.95,5589,92.07352835927715,,,842.7511,,,,,,,,,,,,,858.7,,,,,,,,127293.64,1510,84.3004238410596,,,3927503.11,,,,,,,,,,,,,8177542,,,,,,,,,,,,,,,,
2016-07-25,,130.91,,45.13,,,,,,843.73,,,,,147.83,,51.57,,,,,,855.44,,,,,169.18,,36.4,,,,,,3969132.78,,,,,111.85,,46.41,,,,,,8229837,,,,,,,,,,,,,,,,
2016-07-26,,,,,,,,,,836.5067,,,,,,,,,,,,,860.18,,,,,,,,,,,,,4090160.93,,,,,,,,,,,,,8256112,,,,,,,,,,,,,,,,
2016-07-27,,,,,,,,,,834.6364,,,,,,,,,,,,,856.82,,,,,,,,,,,,,4058872.49,,,,,,,,,,,,,8232119,,,,,,,,,,,,,,,,
2016-07-28,,,,,,,,,,832.4179,,,,,,,,,,,,,856.17,,,,,,,,,,,,,4050111.72,,,,,,,,,,,,,8254785,,,,,,,,,,,,,,,,
2016-07-29,,,,,,,,,,830.7052,,,,,,,,,,,,,853.34,,,,,,,,,,,,,4039448.85,,,,,,,,,,,,,8331745,,,,,,,,,,,,,,,,
2016-07-30,,,,,,,,,,826.3858,,,,,,,,,,,,,843.66,,,,,,,,,,,,,4036864.44,,,,,,,,,,,,,8264059,,,,,,,,,,,,,,,,
2016-07-31,727,,112.85,,534184.17,5979,89.34339688911189,185.8,1.75,823.8902,363838.58,0,0,540,,131.34,,,,,248.1,1.7,842.04,426340.68,53.2927,70.7066,811.5,,91.9,,133173.86,1563,85.20400511836212,186.5,1.6,4033249.3,265483.92,0,0,558.2,,159.9,,110.62,,,181.3,2.32,8222383,65.94,26.8648,0,,,,,3.25,,,,109.79999999999998,1.765113,0.194549,2.8,0.4
2016-08-01,,133.53,,55.07,,,,,,819.5806,,,,,152,,53.98,,,,,,838.52,,,,,170.64,,39.14,,,,,,4013170.98,,,,,111.4,,46.67,,,,,,8223230,,,,,,,,,,,,,,,,
2016-08-02,,,,,,,,,,815.9235,,,,,,,,,,,,,840.08,,,,,,,,,,,,,4000882.61,,,,,,,,,,,,,8278854,,,,,,,,,,,,,,,,
2016-08-03,,,,,,,,,,825.5577,,,,,,,,,,,,,837.09,,,,,,,,,,,,,3984595.43,,,,,,,,,,,,,8288942,,,,,,,,,,,,,,,,
2016-08-04,,,,,,,,,,825.7461,,,,,,,,,,,,,834.71,,,,,,,,,,,,,4028701.17,,,,,,,,,,,,,8301883,,,,,,,,,,,,,,,,
2016-08-05,,,,,,,,,,822.5765,,,,,,,,,,,,,836.23,,,,,,,,,,,,,3961539.37,,,,,,,,,,,,,8394816,,,,,,,,,,,,,,,,
2016-08-06,,,,,,,,,,814.898,,,,,,,,,,,,,830.41,,,,,,,,,,,,,3956864.08,,,,,,,,,,,,,8353641,,,,,,,,,,,,,,,,
2016-08-07,,,,,407727.3,4397,92.72851944507619,,,808.6189,,,,,,,,,,,,,827.27,,,,,,,,107934.89,1309,82.45598930481283,,,3951057.15,,,,,,,,,,,,,8326756,,,,,,,,,,,,,,,,
2016-08-08,,133.3,,54.33,,,,,,809.9738,,,,,151.38,,56.15,,,,,,824.63,,,,,171.58,,35.71,,,,,,4020346.41,,,,,113.53,,53.78,,,,,,8322496,,,,,,,,,,,,,,,,
2016-08-09,,,,,,,,,,,,,,,,,,,,,,,820.95,,,,,,,,,,,,,4025675.38,,,,,,,,,,,,,8304765,,,,,,,,,,,,,,,,
2016-08-10,,,,,,,,,,808.231,,,,,,,,,,,,,819.97,,,,,,,,,,,,,4043328.31,,,,,,,,,,,,,8289507,,,,,,,,,,,,,,,,
2016-08-11,,,,,,,,,,811.327,,,,,,,,,,,,,820.85,,,,,,,,,,,,,4031025.65,,,,,,,,,,,,,8303571,,,,,,,,,,,,,,,,
2016-08-12,,,,,,,,,,797.8979,,,,,,,,,,,,,821.16,,,,,,,,,,,,,4019757.68,,,,,,,,,,,,,8390353,,,,,,,,,,,,,,,,
2016-08-13,,,,,,,,,,790.5332,,,,,,,,,,,,,819.91,,,,,,,,,,,,,4012026.49,,,,,,,,,,,,,8335509,,,,,,,,,,,,,,,,
2016-08-14,,,,,466233.64,5140,90.70693385214008,,,788.0189,,,,,,,,,,,,,816.25,,,,,,,,131162.11,1616,81.16467202970297,,,3989524.89,,,,,,,,,,,,,8306252,,,,,,,,,,,,,,,,
2016-08-15,,133.57,,61.73,,,,,,798.3502,,,,,152,,,,,,,,815.78,,,,,171.8,,38.93,,,,,,3970766.22,,,,,113.86,,45.27,,,,,,8303133,,,,,,,,,,,,,,,,
2016-08-16,,,,,,,,,,797.7077,,,,,,,,,,,,,815.11,,,,,,,,,,,,,3971431.34,,,,,,,,,,,,,8321887,,,,,,,,,,,,,,,,
2016-08-17,,,,,,,,,,803.0571,,,,,,,,,,,,,811.83,,,,,,,,,,,,,3961382.38,,,,,,,,,,,,,8342140,,,,,,,,,,,,,,,,
2016-08-18,,,,,,,,,,805.7891,,,,,,,,,,,,,814.93,,,,,,,,,,,,,4011995.17,,,,,,,,,,,,,8345675,,,,,,,,,,,,,,,,
2016-08-19,,,,,,,,,,806.2251,,,,,,,,,,,,,814.71,,,,,,,,,,,,,4030763.9,,,,,,,,,,,,,8350739,,,,,,,,,,,,,,,,
2016-08-20,,,,,,,,,,800.1859,,,,,,,,,,,,,808.71,,,,,,,,,,,,,4026495.08,,,,,,,,,,,,,8303642,,,,,,,,,,,,,,,,
2016-08-21,,,,,511959.77,5710,89.66020490367775,,,796.5952,,,,,,,,,,,,,806.4,,,,,,,,139977.12,1688,82.92483412322275,,,4022506.57,,,,,,,,,,,,,8274954,,,,,,,,,,,,,,,,
2016-08-22,,134.03,,67.11,,,,,,795.7934,,,,,153.37,,,,,,,,805.27,,,,,176.73,,38.67,,,,,,4068118.57,,,,,114.59,,60.12,,,,,,8272825,,,,,,,,,,,,,,,,
2016-08-23,,,,,,,,,,800.5713,,,,,,,,,,,,,801.5,,,,,,,,,,,,,4105425.54,,,,,,,,,,,,,8302855,,,,,,,,,,,,,,,,
2016-08-24,,,,,,,,,,812.5911,,,,,,,,,,,,,797.89,,,,,,,,,,,,,4097333.13,,,,,,,,,,,,,8265403,,,,,,,,,,,,,,,,
2016-08-25,,,,,,,,,,818.1535,,,,,,,,,,,,,789.91,,,,,,,,,,,,,4109760.44,,,,,,,,,,,,,8300279,,,,,,,,,,,,,,,,
2016-08-26,,,,,,,,,,823.1084,,,,,,,,,,,,,779.08,,,,,,,,,,,,,4110252.57,,,,,,,,,,,,,8378892,,,,,,,,,,,,,,,,
2016-08-27,,,,,,,,,,820.218,,,,,,,,,,,,,770.87,,,,,,,,,,,,,4109604.89,,,,,,,,,,,,,8315085,,,,,,,,,,,,,,,,
2016-08-28,,,,,544651.49,5952,91.5073067876344,,,817.555,,,,,,,,,,,,,760.79,,,,,,,,137240.11,1632,84.09320465686274,,,4104900.38,,,,,,,,,,,,,8279123,,,,,,,,,,,,,,,,
2016-08-29,,136.79,,72.69,,,,,,814.856,,,,,156,,60.1,,,,,,741.26,,,,,175.29,,40.3,,,,,,4097122.76,,,,,114.92,,51.09,,,,,,8231334,,,,,,,,,,,,,,,,
2016-08-30,,,,,,,,,,812.9193,,,,,,,,,,,,,729.88,,,,,,,,,,,,,4088143.88,,,,,,,,,,,,,8194792,,,,,,,,,,,,,,,,
2016-08-31,750,,101.46,,,,,191.4,1.74,,249791.58,10.1325,0,556.1,,124.05,,,,,248.6,1.65,722.62,1168759.43,34.3575,80.0871,834.7,,84.15,,,,,192.4,1.56,4080647.71,418296.92,0,0,570.7,,145.46,,116.87,,,184,2.31,8177857,96.07,6.2447,22.4394,,,,,3.25,,,,108.30000000000001,1.339773,0.060004,2.7,0.4
2016-09-01,,,,,,,,,,812.286,,,,,,,,,,,,,718.66,,,,,,,,,,,,,4182462.94,,,,,,,,,,,,,8172484,,,,,,,,,,,,,,,,
2016-09-02,,,,,,,,,,,,,,,,,,,,,,,715.49,,,,,,,,,,,,,4253244.54,,,,,,,,,,,,,8190523,,,,,,,,,,,,,,,,
2016-09-03,,,,,,,,,,811.8144,,,,,,,,,,,,,716.68,,,,,,,,,,,,,4231089.73,,,,,,,,,,,,,8127941,,,,,,,,,,,,,,,,
2016-09-04,,,,,590611.13,6604,89.43233343428226,,,810.0471,,,,,,,,,,,,,714.31,,,,,,,,149055.69,1785,83.50458823529412,,,4226650.83,,,,,,,,,,,,,8092367,,,,,,,,,,,,,,,,
2016-09-05,,137.89,,78.41,,,,,,845.6,,,,,156.94,,60.05,,,,,,711.52,,,,,165.31,,39.44,,,,,,4216660.18,,,,,114.63,,58.33,,,,,,8074213,,,,,,,,,,,,,,,,
2016-09-06,,,,,,,,,,845.444,,,,,,,,,,,,,712.91,,,,,,,,,,,,,4208923.54,,,,,,,,,,,,,8054634,,,,,,,,,,,,,,,,
2016-09-07,,,,,,,,,,846.5389,,,,,,,,,,,,,715.64,,,,,,,,,,,,,4227262.7,,,,,,,,,,,,,8026389,,,,,,,,,,,,,,,,
2016-09-08,,,,,,,,,,846.6623,,,,,,,,,,,,,718.81,,,,,,,,,,,,,4242866.96,,,,,,,,,,,,,7985067,,,,,,,,,,,,,,,,
2016-09-09,,,,,,,,,,842.7994,,,,,,,,,,,,,721.5,,,,,,,,,,,,,4230138.31,,,,,,,,,,,,,8011544,,,,,,,,,,,,,,,,
2016-09-10,,,,,,,,,,839.3606,,,,,,,,,,,,,717.17,,,,,,,,,,,,,4225522.57,,,,,,,,,,,,,7934403,,,,,,,,,,,,,,,,
2016-09-11,,,,,579077.39,6298,91.94623531279771,,,836.4965,,,,,,,,,,,,,714.27,,,,,,,,136123.53,1674,81.31632616487455,,,4218837.63,,,,,,,,,,,,,7890319,,,,,,,,,,,,,,,,
2016-09-12,,138.69,,79.31,,,,,,849.7657,,,,,157.93,,60.49,,,,,,709.4,,,,,172.43,,40.48,,,,,,4249435.69,,,,,116.48,,60.71,,,,,,7849372,,,,,,,,,,,,,,,,
2016-09-13,,,,,,,,,,847.2277,,,,,,,,,,,,,706.11,,,,,,,,,,,,,4205071.36,,,,,,,,,,,,,7867285,,,,,,,,,,,,,,,,
2016-09-14,,,,,,,,,,844.2521,,,,,,,,,,,,,701.29,,,,,,,,,,,,,4233871.01,,,,,,,,,,,,,7890878,,,,,,,,,,,,,,,,
2016-09-15,,,,,,,,,,842.7829,,,,,,,,,,,,,706.13,,,,,,,,,,,,,4228993.83,,,,,,,,,,,,,7862922,,,,,,,,,,,,,,,,
2016-09-16,,,,,,,,,,837.0489,,,,,,,,,,,,,704.83,,,,,,,,,,,,,4211658.61,,,,,,,,,,,,,7828698,,,,,,,,,,,,,,,,
2016-09-17,,,,,,,,,,835.5987,,,,,,,,,,,,,703.21,,,,,,,,,,,,,4205376.42,,,,,,,,,,,,,7803191,,,,,,,,,,,,,,,,
2016-09-18,,,,,509129.87,5619,90.60862609005162,,,835.6399,,,,,,,,,,,,,700.43,,,,,,,,126011.25,1548,81.40261627906976,,,4196208.84,,,,,,,,,,,,,7773474,,,,,,,,,,,,,,,,
2016-09-19,,138.84,,83.4,,,,,,828.4096,,,,,158.59,,59.44,,,,,,704.74,,,,,175.79,,40.13,,,,,,4186462.65,,,,,117.45,,59.57,,,,,,7737866,,,,,,,,,,,,,,,,
2016-09-20,,,,,,,,,,835.2629,,,,,,,,,,,,,701.7,,,,,,,,,,,,,4119442.26,,,,,,,,,,,,,7826580,,,,,,,,,,,,,,,,
2016-09-21,,,,,,,,,,833.2715,,,,,,,,,,,,,702.12,,,,,,,,,,,,,4321247.86,,,,,,,,,,,,,7872572,,,,,,,,,,,,,,,,
2016-09-22,,,,,,,,,,834.4425,,,,,,,,,,,,,701.49,,,,,,,,,,,,,4490216.76,,,,,,,,,,,,,7942701,,,,,,,,,,,,,,,,
2016-09-23,,,,,,,,,,829.7262,,,,,,,,,,,,,698.29,,,,,,,,,,,,,4543114.95,,,,,,,,,,,,,8158482,,,,,,,,,,,,,,,,
2016-09-24,,,,,,,,,,826.8993,,,,,,,,,,,,,704.08,,,,,,,,,,,,,4536337.84,,,,,,,,,,,,,8099426,,,,,,,,,,,,,,,,
2016-09-25,,,,,663823.39,7179,92.46738960858058,,,822.5926,,,,,,,,,,,,,700.62,,,,,,,,151715.58,1841,82.40933188484519,,,4528104.35,,,,,,,,,,,,,8050911,,,,,,,,,,,,,,,,
2016-09-26,,142.06,,85.69,,,,,,837.117,,,,,160.62,,59.63,,,,,,698.15,,,,,177.96,,39.44,,,,,,4518156.44,,,,,118.86,,60.66,,,,,,8258354,,,,,,,,,,,,,,,,
2016-09-27,,,,,,,,,,832.898,,,,,,,,,,,,,697.82,,,,,,,,,,,,,4495836.75,,,,,,,,,,,,,8268166,,,,,,,,,,,,,,,,
2016-09-28,,,,,,,,,,830.2017,,,,,,,,,,,,,697.82,,,,,,,,,,,,,4531988.11,,,,,,,,,,,,,8203983,,,,,,,,,,,,,,,,
2016-09-29,,,,,,,,,,826.7107,,,,,,,,,,,,,691.77,,,,,,,,,,,,,4508403.96,,,,,,,,,,,,,8219629,,,,,,,,,,,,,,,,
2016-09-30,808,,97.48,,,,,194.1,1.64,819.912,577955.11,71.1379,0,573.8,,110.19,,,,,251.6,1.62,693.54,949053.6,74.4655,50.2139,871,,79.92,,,,,192.4,1.61,4485041.32,772752.98,0,0,596.9,,163.86,,109.88,,,182.6,2.19,8401867,97.84,78.0576,0,8.8,,8.8,8.4,3.25,4.52,,,107.6,1.920226,0.672647,2.7,0.4
2016-10-01,,,,,,,,,,815.1983,,,,,,,,,,,,,707.35,,,,,,,,,,,,,4470156.19,,,,,,,,,,,,,8249135,,,,,,,,,,,,,,,,
2016-10-02,,,,,855364.23,9378,91.20966410748561,,,805.7388,,,,,,,,,,,,,707.39,,,,,,,,148818.03,1802,82.58492230854606,,,4456045.66,,,,,,,,,,,,,8186074,,,,,,,,,,,,,,,,
2016-10-03,,145.14,,84.74,,,,,,805.3966,,,,,162.44,,58.23,,,,,,707.42,,,,,170.26,,39.82,,,,,,4439714.89,,,,,118.97,,65.22,,,,,,8147297,,,,,,,,,,,,,,,,
2016-10-04,,,,,,,,,,805.2024,,,,,,,,,,,,,705.16,,,,,,,,,,,,,4398391.52,,,,,,,,,,,,,8109001,,,,,,,,,,,,,,,,
2016-10-05,,,,,,,,,,804.9528,,,,,,,,,,,,,701.52,,,,,,,,,,,,,4387760.5,,,,,,,,,,,,,8070974,,,,,,,,,,,,,,,,
2016-10-06,,,,,,,,,,804.8204,,,,,,,,,,,,,698.99,,,,,,,,,,,,,4379083.64,,,,,,,,,,,,,8048833,,,,,,,,,,,,,,,,
2016-10-07,,,,,,,,,,804.6178,,,,,,,,,,,,,695.81,,,,,,,,,,,,,4305125.63,,,,,,,,,,,,,8014058,,,,,,,,,,,,,,,,
2016-10-08,,,,,,,,,,804.0126,,,,,,,,,,,,,691.84,,,,,,,,,,,,,4282390.76,,,,,,,,,,,,,7958420,,,,,,,,,,,,,,,,
2016-10-09,,,,,165812.89,1807,91.76142224681793,,,799.9989,,,,,,,,,,,,,690.69,,,,,,,,47609.04,570,83.52463157894736,,,4266873.61,,,,,,,,,,,,,7886428,,,,,,,,,,,,,,,,
2016-10-10,,145.44,,74.02,,,,,,801.7417,,,,,162.29,,57.14,,,,,,694.48,,,,,165.88,,29.67,,,,,,4245119.62,,,,,119.44,,69.88,,,,,,7821410,,,,,,,,,,,,,,,,
2016-10-11,,,,,,,,,,,,,,,,,,,,,,,704.76,,,,,,,,,,,,,4197924.62,,,,,,,,,,,,,7773576,,,,,,,,,,,,,,,,
2016-10-12,,,,,,,,,,799.928,,,,,,,,,,,,,701.33,,,,,,,,,,,,,4198028.1,,,,,,,,,,,,,7751801,,,,,,,,,,,,,,,,
2016-10-13,,,,,,,,,,797.3501,,,,,,,,,,,,,698.05,,,,,,,,,,,,,4287987.22,,,,,,,,,,,,,7687271,,,,,,,,,,,,,,,,
2016-10-14,,,,,,,,,,794.0923,,,,,,,,,,,,,696.77,,,,,,,,,,,,,4271846.96,,,,,,,,,,,,,7597939,,,,,,,,,,,,,,,,
2016-10-15,,,,,,,,,,791.2563,,,,,,,,,,,,,689.18,,,,,,,,,,,,,4264648.8,,,,,,,,,,,,,7517416,,,,,,,,,,,,,,,,
2016-10-16,,,,,526455.23,5623,93.6253298950738,,,788.2663,,,,,,,,,,,,,684.93,,,,,,,,131353.16,1621,81.0321776681061,,,4255275.83,,,,,,,,,,,,,7473237,,,,,,,,,,,,,,,,
2016-10-17,,147.32,,58.89,,,,,,800.1582,,,,,166.18,,53.78,,,,,,682.24,,,,,168.86,,21.37,,,,,,4213423.42,,,,,121.57,,54.26,,,,,,7430478,,,,,,,,,,,,,,,,
2016-10-18,,,,,,,,,,796.8927,,,,,,,,,,,,,672.98,,,,,,,,,,,,,4185678.32,,,,,,,,,,,,,7452887,,,,,,,,,,,,,,,,
2016-10-19,,,,,,,,,,796.7667,,,,,,,,,,,,,667.26,,,,,,,,,,,,,4183987.48,,,,,,,,,,,,,7431637,,,,,,,,,,,,,,,,
2016-10-20,,,,,,,,,,805.9448,,,,,,,,,,,,,663.98,,,,,,,,,,,,,4008325.31,,,,,,,,,,,,,7426853,,,,,,,,,,,,,,,,
2016-10-21,,,,,,,,,,802.8378,,,,,,,,,,,,,663.72,,,,,,,,,,,,,3983548.18,,,,,,,,,,,,,7514774,,,,,,,,,,,,,,,,
2016-10-22,,,,,,,,,,798.6602,,,,,,,,,,,,,659.76,,,,,,,,,,,,,3975219.74,,,,,,,,,,,,,7483694,,,,,,,,,,,,,,,,
2016-10-23,,,,,560866.84,6079,92.26301036354664,,,795.5217,,,,,,,,,,,,,657.37,,,,,,,,131454.86,1624,80.94511083743842,,,3968962.3,,,,,,,,,,,,,7458092,,,,,,,,,,,,,,,,
2016-10-24,,148.87,,57.18,,,,,,796.4055,,,,,167.22,,51.99,,,,,,654.01,,,,,173.3,,21.71,,,,,,3951827.32,,,,,122.14,,52.15,,,,,,7449330,,,,,,,,,,,,,,,,
2016-10-25,,,,,,,,,,791.7244,,,,,,,,,,,,,655.46,,,,,,,,,,,,,3927380.09,,,,,,,,,,,,,7518560,,,,,,,,,,,,,,,,
2016-10-26,,,,,,,,,,791.1736,,,,,,,,,,,,,653.99,,,,,,,,,,,,,,,,,,,,,,,,,,7502131,,,,,,,,,,,,,,,,
2016-10-27,,,,,,,,,,795.6632,,,,,,,,,,,,,652.4,,,,,,,,,,,,,3905836.5,,,,,,,,,,,,,7528666,,,,,,,,,,,,,,,,
2016-10-28,,,,,,,,,,792.2472,,,,,,,,,,,,,647.66,,,,,,,,,,,,,3880284.98,,,,,,,,,,,,,7620459,,,,,,,,,,,,,,,,
2016-10-29,,,,,,,,,,783.3512,,,,,,,,,,,,,643.89,,,,,,,,,,,,,3870945.3,,,,,,,,,,,,,7569403,,,,,,,,,,,,,,,,
2016-10-30,,,,,541656.15,5871,92.25960654062341,,,776.0164,,,,,,,,,,,,,640.03,,,,,,,,160965.2,1876,85.80234541577825,,,3846708.87,,,,,,,,,,,,,7464411,,,,,,,,,,,,,,,,
2016-10-31,824,156.53,90.29,62.15,,,,192.8,1.6,777.9771,161193.72,0,10.1325,581.4,172.4,101.17,52.52,,,,250.6,1.7,635.26,380766,43.4303,31.1191,834.7,172.53,67.58,28.06,,,,186.7,1.52,3811391.13,,0,0,616.5,123.54,166.27,58.08,97.98,,,181.5,2.11,7531468,81.38,320.8448,15.7772,,,,,3.25,,,,110.20000000000002,2.095947,-0.120073,2.8,0.1
2016-11-01,,,,,,,,,,783.7237,,,,,,,,,,,,,634.27,,,,,,,,,,,,,3816238.64,,,,,,,,,,,,,7501705,,,,,,,,,,,,,,,,
2016-11-02,,,,,,,,,,782.3928,,,,,,,,,,,,,632.85,,,,,,,,,,,,,3820006,,,,,,,,,,,,,7483556,,,,,,,,,,,,,,,,
2016-11-03,,,,,,,,,,788.8199,,,,,,,,,,,,,632.92,,,,,,,,,,,,,3819207.85,,,,,,,,,,,,,7536228,,,,,,,,,,,,,,,,
2016-11-04,,,,,,,,,,791.13,,,,,,,,,,,,,631.74,,,,,,,,,,,,,3831136.71,,,,,,,,,,,,,7527588,,,,,,,,,,,,,,,,
2016-11-05,,,,,,,,,,787.7724,,,,,,,,,,,,,629.73,,,,,,,,,,,,,,,,,,,,,,,,,,7471201,,,,,,,,,,,,,,,,
2016-11-06,,,,,466818.41,4870,95.8559363449692,,,785.5695,,,,,,,,,,,,,627.09,,,,,,,,167185.81,1948,85.82433778234086,,,3789044,,,,,,,,,,,,,7421770,,,,,,,,,,,,,,,,
2016-11-07,,157.49,,49.11,,,,,,784.2446,,,,,171.45,,50.11,,,,,,626.64,,,,,172.7,,30.67,,,,,,,,,,,123.52,,56.42,,,,,,7393077,,,,,,,,,,,,,,,,
2016-11-08,,,,,,,,,,786.0192,,,,,,,,,,,,,626.75,,,,,,,,,,,,,,,,,,,,,,,,,,7359642,,,,,,,,,,,,,,,,
2016-11-09,,,,,,,,,,790.5916,,,,,,,,,,,,,624.41,,,,,,,,,,,,,3704082.98,,,,,,,,,,,,,7338229,,,,,,,,,,,,,,,,
2016-11-10,,,,,,,,,,789.5009,,,,,,,,,,,,,626.38,,,,,,,,,,,,,,,,,,,,,,,,,,7292090,,,,,,,,,,,,,,,,
2016-11-11,,,,,,,,,,788.3595,,,,,,,,,,,,,626.45,,,,,,,,,,,,,3695160.33,,,,,,,,,,,,,7434182,,,,,,,,,,,,,,,,
2016-11-12,,,,,,,,,,783.8604,,,,,,,,,,,,,624.58,,,,,,,,,,,,,3689211.56,,,,,,,,,,,,,7393392,,,,,,,,,,,,,,,,
2016-11-13,,,,,433426.76,4532,95.63697263901147,,,782.0557,,,,,,,,,,,,,625.01,,,,,,,,43260.29,500,86.52058,,,3682389.87,,,,,,,,,,,,,7366104,,,,,,,,,,,,,,,,
2016-11-14,,158.27,,51.98,,,,,,777.9525,,,,,171.51,,51.47,,,,,,625.29,,,,,171.61,,26.4,,,,,,3662678.99,,,,,123.21,,48.86,,,,,,7379649,,,,,,,,,,,,,,,,
2016-11-15,,,,,,,,,,777.3363,,,,,,,,,,,,,623.73,,,,,,,,,,,,,3688939.44,,,,,,,,,,,,,7361902,,,,,,,,,,,,,,,,
2016-11-16,,,,,,,,,,771.3383,,,,,,,,,,,,,621.3,,,,,,,,,,,,,3674715.35,,,,,,,,,,,,,7312198,,,,,,,,,,,,,,,,
2016-11-17,,,,,,,,,,773.8273,,,,,,,,,,,,,620.28,,,,,,,,,,,,,3664123.45,,,,,,,,,,,,,7380046,,,,,,,,,,,,,,,,
